,date,year,co2_pg,ch4_tg,n2o_tg,hist_forcing_wm2,co2_forcing_rcp,ch4_forcing_rcp,n2o_forcing_rcp,total_forcing_rcp,rcp_co2_ppm,rcp_ch4_ppb,rcp_n2o_ppb,co2_pg_atm,ch4_tg_atm,n2o_tg_atm,ch4_co2_decay_marginal,co2_ppm,ch4_ppb,n2o_ppb,co2_forcing,ch4_forcing,n2o_forcing,total_forcing_ghg,rcp_nonghg_forcing,historic_nonghg_forcings,total_forcing,t_os,t_eq,t_s
0,0,1900.0,4.3570470109,123.73905,0.9325222,0.24221,,,,0.03605504730863143,277.01467,721.89411,272.95961,4.374710002131666,123.73905,0.9325222,0.017662991231666255,277.56690686562797,764.7519134081463,273.0773259483956,0.0106547650728702,0.02499698269712476,0.00040329953863646847,0.03605504730863143,0.20615495269136858,0.20615495269136858,0.24221,0.018709336586136518,0.048992250381503614,0.027491381586792978
1,1,1901.0,4.6056414339,124.8415,0.9446669,0.247364,,,,0.06861896140586674,277.01467,721.89411,272.95961,8.466328382790184,236.80522251222249,1.869044853304708,0.0338024945952483,278.0834079614217,803.9130981242112,273.1955468897605,0.020600882566671478,0.047209838519439565,0.0008082403197556897,0.06861896140586674,0.17874503859413327,0.17874503859413327,0.247364,0.027028787489064825,0.05003475918983634,0.033700519282288566
2,2,1902.0,4.657133222100001,125.94396,0.95993065,0.252518,,,,0.09818618567027688,277.01467,721.89411,272.95961,12.311400789449866,340.2141861153903,2.812652071680368,0.048563490557302746,278.5687865883322,839.7294473910329,273.31466214366435,0.02993086037873927,0.06703917094060557,0.001216154350932046,0.09818618567027688,0.15433181432972315,0.15433181432972315,0.252518,0.031689157067994335,0.05107726799816907,0.03731170923774501
3,3,1903.0,4.9312723865,127.04642,0.97764708,0.257672,,,,0.12592741394312304,277.01467,721.89411,272.95961,16.25680425377537,434.88494574385516,3.7657346615912433,0.06207716144141533,279.0668303996283,872.5192643862064,273.4349735110191,0.03948740597142328,0.08481193513285754,0.001628072838842235,0.12592741394312304,0.13174458605687697,0.13174458605687697,0.257672,0.03477748052780797,0.052119776806501796,0.03980674644862918
4,4,1904.0,5.0363161541,128.14887,0.99722904,0.262826,,,,0.15176872784986464,277.01467,721.89411,272.95961,20.160077151693304,521.6490414495782,4.7300753992291,0.07446220449511287,279.55955590367006,902.5705582715358,273.55670603868174,0.048925134638958444,0.10079882986436227,0.002044763346543942,0.15176872784986464,0.11105727215013536,0.11105727215013536,0.262826,0.03710955869547249,0.05316228561483452,0.04176484950208748
5,5,1905.0,5.258431784,129.25133,1.0181293,0.26798,,,,0.1762961589959368,277.01467,721.89411,272.95961,24.16972168077254,601.2589017861696,5.706894260787363,0.085826024284253,280.06570911746985,930.1439374404854,273.6800137290499,0.0586027550091306,0.11522665437922447,0.0024667496075817495,0.1762961589959368,0.09168384100406318,0.09168384100406318,0.26798,0.03903341785011955,0.054204794423167245,0.043433117056303386
6,6,1906.0,5.5179691561,130.35378,1.0397413,0.273134,,,,0.199789253440797,277.01467,721.89411,272.95961,28.32259652329777,674.3953322633344,6.696794007713562,0.09626580162401376,280.58994285759525,955.4752031917894,273.8049726710739,0.06860765308571093,0.12828731206659433,0.002894288288491742,0.199789253440797,0.07334474655920298,0.07334474655920298,0.273134,0.04071311155703933,0.05524730323149997,0.044928027142632915
7,7,1907.0,5.827089219099999,131.45624,1.0614586,0.278288,,,,0.22251568314320508,277.01467,721.89411,272.95961,32.66274459455135,741.6743711806586,7.699765697196716,0.10586947220716135,281.1378168346274,978.7777242908903,273.93158173586767,0.07904376437268554,0.14014454710438107,0.00332737166613848,0.22251568314320508,0.0557723168567949,0.0557723168567949,0.278288,0.04223422204642299,0.056289812039832694,0.04631034314451181
8,8,1908.0,5.7303848659,132.5587,1.0826746,0.283442,,,,0.24361748633424896,277.01467,721.89411,272.95961,36.77480875789167,803.6534230425509,8.7151938645285,0.11471660211145256,281.6568988820586,1000.2445613170376,274.0597632308981,0.08891269051461871,0.15093906564834936,0.0037657301712809062,0.24361748633424896,0.03982451366575107,0.03982451366575107,0.283442,0.04364569803483671,0.057332320848165426,0.04761481865070204
9,9,1909.0,5.8807274802,133.66115,1.1027829,0.288596,,,,0.2639186932160022,277.01467,721.89411,272.95961,40.951176820655725,860.8368383015826,9.741862020203898,0.12287918427380969,282.18409826386124,1020.0503992427205,274.1893635939059,0.0989173461848123,0.16079251195535782,0.004208835075832104,0.2639186932160022,0.02467730678399782,0.02467730678399782,0.288596,0.044977762835197756,0.05837482965649815,0.04886291221337487
10,10,1910.0,6.0224027656,134.76361,1.121177,0.29375,,,,0.28348207827101524,277.01467,721.89411,272.95961,45.17453236816034,913.6809921190427,10.777957799012558,0.13042236345227126,282.71722906083977,1038.3533064945423,274.32015404289587,0.10901557209679082,0.1698106051380683,0.004655901036156109,0.28348207827101524,0.010267921728984775,0.010267921728984775,0.29375,0.046250242250279586,0.059417338464830875,0.050068700152499465
11,11,1911.0,5.9266611268,135.96943,1.1389722,0.302692,,,,0.30184455082116984,277.01467,721.89411,272.95961,49.20500896933341,962.7021798175285,11.822799964160192,0.13741983764076884,283.22601198911025,1055.3321052263536,274.45204858266555,0.11863487382924774,0.178103045658262,0.005106631333660148,0.30184455082116984,0.000847449178830173,0.000847449178830173,0.302692,0.04747676895266027,0.06122605281564796,0.0514640612729267
